ImageName,EN,MI,PSNR,MSE,SF,SD,VIF,AG,CC,SCD,Qabf
10018.png,6.89100808735955,3.20806187143196,63.6955514878363,0.0277667603571568,16.1918198679844,59.3078006473194,0.537944053154563,6.06608653475834,0.901335735218282,1.88074383732523,0.603600617643007
11010.png,6.33127764107899,3.40305159271873,66.1812122133062,0.0156660366974992,13.837823361792,63.5803369156355,0.502663201385423,4.91815138268261,0.922726453627989,1.47919482976505,0.497079980597633
11013.png,6.44128188049623,3.32266041795777,64.6701299822543,0.0221854050697523,13.5582552994368,65.1133350652662,0.542639293420766,4.75397823149899,0.911824417076111,1.71618599016342,0.542930257852559
15009.png,6.58835463470824,2.90746818557559,63.6404294165391,0.0281214311681129,16.6777694329849,60.3663934096562,0.628975180932666,6.00004461360714,0.879822928205486,1.74758300024472,0.663436780667002
15012.png,6.30300717324592,3.13495915790452,66.6861547684227,0.0139464888523194,14.16169697289,54.7561223899548,0.531816817620255,4.81382122996736,0.909360833211897,1.38604205516943,0.545133950754491
18017.png,6.38499166731602,3.36836436710739,65.6915572413989,0.0175357617675594,16.5969194703976,55.1703947834942,0.593440384743125,5.66458340497005,0.910593843422335,1.06746396835923,0.566448587422282
18028.png,5.9771603086197,3.18964744612874,66.0970993167044,0.0159724092465188,13.6453655809669,53.079971795574,0.52885250728249,4.33852281351945,0.90145629724265,0.825315965991388,0.457078667565427
21014.png,5.97639297276377,3.14091591812769,66.3837023215633,0.0149523732186464,12.4170267005968,60.7016295021743,0.566415587085508,3.98097356078359,0.942588707064149,1.66856883236643,0.548817852195351
22010.png,6.51094689797977,2.90279668894263,63.1446784614103,0.0315219092744903,19.8584721325981,64.6893601208821,0.57744124100302,6.62329064966908,0.885940547261612,1.65839562940262,0.670545558411278
25014.png,6.44704549614231,3.10502816273632,66.3840523927845,0.0149511680031043,14.1769249911919,52.2423241624218,0.547278515104791,5.07393864045328,0.895638892604303,0.996693800711534,0.491427568781261
25018.png,6.45145398329318,3.10942183472477,66.0393326859283,0.0161862816200124,14.6576088201156,54.2492092032061,0.522223792620373,5.07677652819131,0.909315009136287,1.19498762065892,0.538062266097157
28011.png,5.86455682008982,3.03071296898345,65.1905558996949,0.0196799853543784,13.0975436441267,61.9214996164179,0.494898598658887,3.99062046709378,0.888671953010791,1.45068645554155,0.50298294408134
29011.png,6.39992752862037,3.25039470282531,66.2028298662591,0.01558825042971,15.8146480948121,61.0523715700824,0.532644266764204,5.41217858159544,0.914151254401436,1.2703802219865,0.531713818678326
3015.png,6.4090156954728,3.09913632152067,66.6013190657109,0.0142215998325839,16.8333495619704,53.8949690660116,0.542105264603186,5.74085828111847,0.914395672886425,0.831834747093841,0.48236865965613
35007.png,5.85612433473016,2.86136737363349,67.6141443007042,0.0112633072362868,12.641748379213,58.2771946648432,0.48425515799352,4.09992478892749,0.928870584667259,1.17663464493337,0.470379573472178
35010.png,5.85138923910073,3.01138484559616,66.4827905050582,0.0146150838169214,14.4205167065308,62.2506172042917,0.465310445782471,4.37576680849763,0.918007922578608,1.5011471600163,0.493039362323749
36023.png,5.74861621611918,2.64791576305283,67.6920807524998,0.0110629840338977,13.7896414972453,53.4739416423079,0.490697053861865,4.09771374482089,0.921246169875704,1.35670662470601,0.501314699517971
36034.png,5.51498908546152,2.61162815262405,67.4641233821302,0.0116591804149471,12.1002640851914,54.7911543845882,0.521941390181223,3.37686752547464,0.927269495580553,1.42211876390926,0.472477743647572
40022.png,6.48317293800149,3.14424311545039,65.3530984240618,0.0189570396508404,18.4989508512791,61.0271836431681,0.588476871429237,6.13001648323572,0.917402900580693,1.61744365416211,0.624670822239308
40031.png,6.42814186203445,3.45906653362109,67.057062649505,0.0128048382223409,15.3426344139396,58.2718665474514,0.514778664374613,5.12365814153222,0.908655548220598,1.37381204842252,0.506276811625056
4010.png,6.68474319241889,3.10348159254012,64.8179082699936,0.0214431969196418,15.7453930392602,53.8518208310624,0.612089462944495,5.8328173990106,0.891133403337812,1.6947196379808,0.624670441448259
4012.png,6.39733430668303,3.15005945113075,66.6105997100313,0.0141912414715043,13.4258311167864,48.6084228935712,0.593704241063568,4.86530847526737,0.88723375305015,1.13616926881407,0.531366534605253
9023.png,5.89216364912484,2.94714350468682,68.9039811957668,0.00836916714161921,12.4256366468053,49.4651644953945,0.490149149610647,3.85881685053083,0.927259489611732,1.17014866432701,0.451313005468732
9028.png,5.80353079460324,3.01545913896822,68.3316411619415,0.00954808429863213,11.8508571657803,54.4670091577267,0.493812242439351,3.63185049486269,0.942010428828255,1.31264322023435,0.471003294334201
AVERAGE,6.23485943356101,3.08851537949956,66.1223348113127,0.0167587493374365,14.656945743079,57.2754205713542,0.537689724335843,4.91027356800287,0.91070467669588,1.3723175267619,0.53283915829523
