Model,EN,MI,FMI,SCD,Qabf,SF,SSIM,MS_SSIM,VIF,VIFF,SD,MLI,AG,PSNR
ASFE-Fusion,6.23485943356101,3.08851537949968,0.859501493754432,1.3723175267619,0.819813462625863,14.656945743079,0.271942423883016,0.934342186120655,0.537689724335845,0.562008669505319,57.2754205713542,0.506481963086666,4.91027356800287,66.1223348113127
DWT-grayscale,4.74881349055575,2.88017127555045,0.847805118921375,0.716999012675918,0.790198004776371,17.5964538777618,0.60176537811129,0.902235268937486,0.450263310437931,0.447053285277268,47.517415471559,0.00748384837154152,4.95740817920252,68.7358897936592
DWT-hsi,4.7329487202473,2.87201440694296,0.836803401324179,0.508443875264464,0.70000280713886,16.245772475118,0.60095076635601,0.875549291087025,0.442518745760852,0.389898662176591,44.2320379012916,0.083528401900921,4.64512161308859,68.3486671392742
DWT-ycbcr,4.76505322018279,2.90498449782932,0.847386803928717,0.725806229758283,0.785671766543003,17.3410919432755,0.601895119533284,0.901359621588251,0.451045667506084,0.446493846179427,47.5745927643558,0.00336901447760732,4.90737225378661,68.7478123690075
PYRAMID-grayscale,4.60130970246609,2.66865923469466,0.863182116337143,0.958571702028659,0.893626007904446,21.8134853918801,0.605742139757812,0.968010131067962,0.588820538270158,0.604577654248951,55.2669147564009,0.0668257802464658,6.60384548632255,67.4516062445629
PYRAMID-hsi,4.57276829287791,2.61804290614409,0.845505099343935,0.626513492231637,0.856282786530539,19.5372547153656,0.603764255109887,0.954743106253597,0.521854335933921,0.554467436925464,49.7226358313595,0.0382795918649896,5.93835415440402,67.7811805433048
PYRAMID-ycbcr,4.78502174762022,2.86457647421803,0.858798973560094,0.962705769033549,0.890791092628609,21.2839077113938,0.606094587557598,0.96806035392347,0.579280483065473,0.598572537917513,54.9999863817537,0.073177441306809,6.44522147243545,67.5384110787488
