ImageName,EN,MI,PSNR,MSE,SF,SD,VIF,AG,CC,SCD,Qabf
10018.png,5.53279946783766,3.00507039231728,69.8410079877709,0.00674496285138979,16.0349127939264,39.080499633608,0.450040839329907,5.20251952511546,0.893649167210542,0.749422459748962,0.473621265076217
11010.png,5.86978561876056,3.33215954464293,68.5485386636747,0.00908294102816525,16.4485955618066,52.2080871310579,0.45344073616613,5.18725764348978,0.918811723099123,0.703670183931045,0.452115400544663
11013.png,5.71549304502079,3.29488512483653,68.4102553578678,0.00937680371675708,14.7111928218006,47.8322247650395,0.483329679704572,4.51100382738377,0.908236154620784,0.724530608772597,0.453863617529172
15009.png,4.85286495467937,2.66314578764258,67.9338215731535,0.0104640113862832,16.9543179473202,42.3569434406255,0.501633094953948,5.1290723822825,0.872597409882111,0.798819230120452,0.508417473950473
15012.png,4.78678314247472,2.95339707432585,69.1300903425573,0.00794458702407127,16.9396718273303,45.9368899349896,0.451403604828236,4.78311257529353,0.903379111588645,0.738005928341617,0.46968171452508
18017.png,5.04502720710494,2.8313621439768,67.1724700459973,0.0124690497081952,21.0917953887427,49.5867892565157,0.457633744008048,6.34381766260317,0.903739071697317,0.673933607640849,0.513292562495839
18028.png,4.63245924596091,2.7939231036929,66.5311453359666,0.0144532603990202,18.5191838796592,51.5395100469161,0.434443493009182,5.01677512371781,0.896234198047743,0.706159688045023,0.471497012974059
21014.png,4.26654612467968,2.9764091964954,71.373085793464,0.00473992840137357,13.6706466885204,47.5536038346102,0.491879707182745,3.46403809476538,0.939378147830217,0.616094859778712,0.438259891094046
22010.png,4.62081407021502,2.51404402897423,66.7535872925667,0.0137316154177855,20.1698220570665,45.8715231973058,0.434706594374355,5.77886621601885,0.876578542562223,0.705823374088332,0.501096591791873
25014.png,5.2245824801064,2.93631808190048,67.1563284369201,0.0125154801910999,18.6562045315897,47.9652488125044,0.45081531001126,5.65939746112457,0.88803148643123,0.714621205759887,0.479388310568504
25018.png,4.94823757232854,2.90712395109947,68.1311863549106,0.00999911873306691,17.8823248738009,45.6307938949608,0.442241738457875,5.12850538044857,0.90133975537222,0.638056392678019,0.466002174812732
28011.png,4.12109060837237,2.88810901599059,67.4665901517929,0.0116525599425777,15.3019456423416,50.4963003607812,0.435582834630449,3.72968819504099,0.885065151607268,0.825082841743361,0.434860783321935
29011.png,5.08034923908684,3.16407679101237,68.0381631425909,0.010215603932194,19.7374541313776,52.4666303513866,0.452439184669539,5.6767013904775,0.907589789201787,0.696516457554687,0.478224046872868
3015.png,4.97581798936468,2.75678939449948,67.3671505324701,0.011922444450264,24.0450054177415,52.5333194093782,0.417819799308761,7.12528957795886,0.905599395991933,0.665085320182852,0.528114946659552
35007.png,4.27262024914781,2.67843764481451,69.283582789113,0.00766870588854797,16.1147862469322,52.10311166391,0.419913142483206,4.3339372136272,0.925046511895196,0.668553040408962,0.453022600901337
35010.png,4.3359745334699,2.81974957967884,69.1161744705083,0.00797008427873294,16.9040372904134,51.8129844779486,0.398606943611707,4.24966659819596,0.914301147251456,0.770835030420206,0.435115028476433
36023.png,3.72992286959323,2.48541583858978,70.1870495402856,0.00622838437946793,17.6698506310475,46.3765543326097,0.434476542311633,4.34114384283827,0.91634187975253,0.738212833760287,0.480776671875603
36034.png,3.32811662175828,2.42041238250306,70.5988443385364,0.00566494799081934,15.0778331971662,46.4570272719499,0.450064543208299,3.31586545288905,0.924240556934628,0.710187367954557,0.454716003060108
40022.png,4.94712272474416,3.03970743644029,69.2814398210935,0.00767249084261462,21.2231534567099,47.4201426860115,0.471435625340274,6.01639190517238,0.908529691070248,0.687515306549164,0.50809523283249
40031.png,5.17575843322447,3.36888730348973,68.7417364953144,0.00868773792212581,19.7175202958599,50.5506873090108,0.436571935617429,5.49032334765513,0.90235025479641,0.801778448355739,0.457509581961142
4010.png,5.23168000048619,2.72685851367138,68.5980551692577,0.00897996913465524,16.1221806510806,38.7729819518023,0.491940315463695,5.16514196218071,0.884131028437035,0.744329407249353,0.485035549221296
4012.png,5.16311968700901,2.85114871319257,67.6793664814058,0.0110954191390481,16.7632862692289,42.7444307058038,0.497213886482373,5.19209766497275,0.880261974230566,0.753239294538536,0.485668172451067
9023.png,4.15302513158486,2.84011479843341,70.8603867545562,0.00533386089672542,17.0310423399824,45.2090783165298,0.422285502106648,4.32653217761423,0.922439688342676,0.722432957671514,0.46638278120995
9028.png,3.96153275632755,2.87656477098821,71.4612981760453,0.00464462380004085,15.5281291248382,47.9126085321596,0.426400653250068,3.81065107999419,0.938905538329743,0.655070458927326,0.465416760758426
AVERAGE,4.74881349055575,2.88017127555036,68.7358897936592,0.00913577464395924,17.5964538777618,47.517415471559,0.450263310437931,4.95740817920252,0.904865724007651,0.716999012675918,0.473340590623536
