Model,EN,MI,PSNR,MSE,SF,SD,VIF,AG,CC,SCD,Qabf
ASFE-Fusion,6.23485943356101,3.08851537949956,66.1223348113127,0.0167587493374365,14.656945743079,57.2754205713542,0.537689724335843,4.91027356800287,0.91070467669588,1.3723175267619,0.53283915829523
DWT,4.74881349055575,2.88017127555036,68.7358897936592,0.00913577464395924,17.5964538777618,47.517415471559,0.450263310437931,4.95740817920252,0.904865724007651,0.716999012675918,0.473340590623536
PYRAMID,4.60131325308016,2.66869432080209,67.4516072966205,0.0121125244302932,21.8134914833902,55.2669151950248,0.588818482111939,6.60384581326198,0.877767507937516,0.958572169795408,0.660568265009501
