Model,NABF,SSIM,MS_SSIM,FMI_pixel,FMI_dct,FMI_wavelet,FMI_edge
ASFE-Fusion,0.136929329705231,0.271942423883016,0.934342186120656,0.859501493754432,0.410072287015448,0.249114616570773,0.859501493754432
DWT,0.129888230627769,0.60176537811129,0.902235268937486,0.847805118921376,0.333657255659503,0.43071650921819,0.847805118921376
PYRAMID,0.0350578603756688,0.605741745928342,0.968010209428558,0.863182116337143,0.353143902222147,0.432449695411039,0.863182116337143
