ImageName,NABF,SSIM,MS_SSIM,FMI_pixel,FMI_dct,FMI_wavelet,FMI_edge
10018.png,0.0636102264165914,0.326479558042347,0.958751969776872,0.844663022960075,0.418303082031452,0.315391358741188,0.844663022960075
11010.png,0.122241377724689,0.39571490237576,0.933856897891686,0.857599330879689,0.406300666362582,0.362095252489986,0.857599330879689
11013.png,0.0877943003599446,0.371875315648548,0.949596024409746,0.868470362148231,0.403090424201151,0.356025320608318,0.868470362148231
15009.png,0.0696820733091758,0.277273181073264,0.955472747631497,0.85750549948721,0.41397297021277,0.267849395794164,0.85750549948721
15012.png,0.140956333551078,0.267697907515917,0.922601616224674,0.857631635386445,0.405831688986705,0.239875322742352,0.857631635386445
18017.png,0.138872679429719,0.290925680720835,0.916521313950642,0.854681459565174,0.423934261435888,0.282092875219972,0.854681459565174
18028.png,0.190224288945618,0.257702753241716,0.904580220770686,0.867235246409671,0.405337538335693,0.239256970067205,0.867235246409671
21014.png,0.0884207541133302,0.240139610414559,0.957828871627019,0.879406673333588,0.380071970288666,0.192942060103752,0.879406673333588
22010.png,0.0668799699064517,0.272370145610616,0.949599572060387,0.855719861033312,0.426354902036977,0.24202242403557,0.855719861033312
25014.png,0.178579265035723,0.304503976053756,0.90854239159867,0.855139769595433,0.401764662355174,0.266581339799353,0.855139769595433
25018.png,0.140672637876542,0.294751167330614,0.926330920486795,0.853213504166527,0.408544336641662,0.246741906792833,0.853213504166527
28011.png,0.127885730612517,0.218196552883667,0.939062926234635,0.874100363663069,0.40365171119639,0.19327026958561,0.874100363663069
29011.png,0.157620227216719,0.285131921390041,0.920345826080045,0.847129263422138,0.412083848777553,0.252221375157019,0.847129263422138
3015.png,0.233145050786377,0.255435915083216,0.885491739620848,0.858295239063722,0.446036555252356,0.278015825173758,0.858295239063722
35007.png,0.173579571939385,0.240241967790609,0.931625924460722,0.854930299313522,0.403296002342246,0.208396041803969,0.854930299313522
35010.png,0.132084418853046,0.241687495419868,0.945784378666777,0.869408635753221,0.4068436616279,0.211271806155795,0.869408635753221
36023.png,0.165475651888831,0.198421600371903,0.943303547139595,0.867265227041003,0.413450057674429,0.19439255981778,0.867265227041003
36034.png,0.167392630467992,0.173602468474877,0.948734657244907,0.879481234700605,0.394440285982356,0.15969311172965,0.879481234700605
40022.png,0.0976916358034536,0.277627275427191,0.94695204696126,0.849631711540205,0.430367920257219,0.255405614191293,0.849631711540205
40031.png,0.155073525112274,0.287675768596344,0.927240886409356,0.849854741441157,0.416845317099663,0.257224408545154,0.849854741441157
4010.png,0.071509094496912,0.326071679345489,0.953003896130653,0.854613386941744,0.40315143386027,0.288365500045414,0.854613386941744
4012.png,0.13997401120404,0.320010714012067,0.922115413037179,0.854618261176746,0.403105650972835,0.277683580362963,0.854618261176746
9023.png,0.195308310551135,0.208485814443424,0.935051068511931,0.855536418705694,0.412273475856749,0.203987574542936,0.855536418705694
9028.png,0.181630147323998,0.19459480192575,0.94181760996915,0.861904702378188,0.402682464582065,0.187948904192523,0.861904702378188
AVERAGE,0.136929329705231,0.271942423883016,0.934342186120656,0.859501493754432,0.410072287015448,0.249114616570773,0.859501493754432
