ImageName,EN,MI,FMI,SCD,Qabf,SF,SSIM,MS_SSIM,VIF,VIFF,SD,MLI,AG,PSNR
25015.png,3.55415471124456,2.03177487220217,0.85072692067093,1.15540744378926,0.892614347787057,27.6636881406677,0.563865043142346,0.962688391963911,0.639924078379089,0.654025599950624,66.7478810337727,0.142571098188859,6.95015205590391,62.8558616158593
25022.png,4.30940853669939,2.33011004981318,0.826751203411796,1.08173874347853,0.885328164811104,31.4674994761947,0.584700070073457,0.961889006705237,0.599162009696286,0.605270010668315,75.2274183466055,0.103204314289847,8.91553889585698,62.3461253042724
25027.png,4.59554184645155,2.47783296464728,0.828538751770127,1.08130643601037,0.88176064897775,32.3429344763152,0.578982027555943,0.960727577769156,0.579559721733016,0.581828873692387,77.3749614715516,0.0925264946239438,9.60828196671815,62.8189211709449
25038.png,5.08766943016188,2.57741086873353,0.830950242156879,1.11732804905192,0.86783952511512,35.0639139818345,0.585613963841828,0.957182366199997,0.525219816188302,0.528764137768717,81.8395661751794,0.0763784871118927,10.562384934785,62.3867364022831
25046.png,5.22170019055695,2.59120882776199,0.835434273128598,1.15052392927294,0.875687445519053,37.4175216341903,0.572890994082353,0.954278505597876,0.518304819696039,0.522414596587948,83.435349623723,0.0856824513306067,11.383137128812,62.3918746234313
25055.png,5.21482036635042,2.62257469932801,0.82726570006084,1.05845303125451,0.878803878953829,38.5675924990979,0.579481019369004,0.960504479965028,0.544000956020504,0.518864588092952,81.8986432191646,0.0733990100842098,11.8886779406033,62.9590308577422
25063.png,5.17271332279473,2.65706302931076,0.826920515746931,1.06835818437437,0.889148851762736,37.9507035201137,0.574692943557063,0.959955903054962,0.551518897931858,0.561046440528912,77.9210538830897,0.0928583772175055,11.520874612624,63.2237302814257
25073.png,5.34487992156654,2.62930418914585,0.826011134518097,1.22341695939457,0.910093776308632,40.9245126083426,0.567999783167403,0.960546425711045,0.569849953442232,0.555777983051769,75.5845667616682,0.106712954275876,13.0335729148413,62.3616885039585
30034.png,4.8663448952535,2.38648060437599,0.846486874533152,1.29242180687384,0.893433427544847,28.1942578634478,0.593413106185879,0.956937229241881,0.62258319886767,0.632160849152545,73.4999143778526,0.11882184771297,8.99483189043046,62.6234546404109
30043.png,5.45077310583463,2.51897969286863,0.833655636540845,1.22093799836478,0.889989628703474,34.7920991812966,0.574394514919941,0.956235195006854,0.616657462646727,0.574686570601293,79.4356208521381,0.103163594179893,11.3982564687066,61.542458294832
30057.png,5.75062905357143,2.83587916983184,0.847223302430536,1.11768185406562,0.878585744824953,31.5901907262769,0.555632231536645,0.955852084468149,0.626611656308832,0.572336529349537,77.7779767995518,0.080234745104932,10.4820189502621,62.5721130690271
30062.png,5.89149235880403,2.77735690496542,0.83761464199685,1.15031576508878,0.875563438174777,31.3054571645953,0.557208610380541,0.949611692039352,0.589082106260996,0.583468020729354,77.5591653533555,0.0803891831814699,10.7312897985002,62.8305955981959
30066.png,5.8932795736032,2.76352362245095,0.849092588285808,1.31591919039659,0.884958961716853,30.6675809419872,0.555773459225345,0.947056680204319,0.598038026108876,0.607908809894741,74.813468090732,0.107359090004508,10.2758634557138,62.6758728765493
30071.png,5.95527209635915,2.82627599216739,0.83375432421864,1.26578311248995,0.881877671968865,32.1791577329482,0.552033704159335,0.945698989677141,0.567863511433755,0.595803537378889,75.802857716655,0.100364127191099,11.1217442528166,62.7672410885881
