ImageName,NABF,SSIM,MS_SSIM,FMI_pixel,FMI_dct,FMI_wavelet,FMI_edge
25015.png,0.185639177925925,0.197730322619617,0.925494143516924,0.865379675415207,0.471820303279969,0.239424928606764,0.865379675415207
25022.png,0.18622451728752,0.254683527267262,0.916107753630852,0.842120404273239,0.450917217947466,0.271693080533255,0.842120404273239
25027.png,0.163180133429058,0.270634466103347,0.915324570842714,0.842922027308049,0.447989962857111,0.284324492700656,0.842922027308049
25038.png,0.16859216074932,0.30263789326165,0.897162102804148,0.844594496926096,0.45335240082426,0.305515578281796,0.844594496926096
25046.png,0.150458562995234,0.314123677242543,0.897462451322423,0.842252852972438,0.454269861167741,0.321271519932617,0.842252852972438
25055.png,0.16109049142519,0.319988553190318,0.898616896657338,0.83515694962559,0.456461341001314,0.324868524753101,0.83515694962559
25063.png,0.189405678680653,0.311887133299513,0.894727960996441,0.835178308153323,0.462384463658745,0.331094737569946,0.835178308153323
25073.png,0.17843246421915,0.305007352000538,0.891808619070355,0.834719159742754,0.468016954547675,0.338945305934192,0.834719159742754
30034.png,0.148380515079528,0.282955359488872,0.907987439523509,0.859136622124138,0.435802385155666,0.285860069475288,0.859136622124138
30043.png,0.150309634108746,0.325867276099384,0.887068325937777,0.8460702743453,0.436053583312447,0.33159939435563,0.8460702743453
30057.png,0.1289227310155,0.342194163132667,0.896427464634572,0.852974949225427,0.421820267716701,0.344503156600328,0.852974949225427
30062.png,0.143614929705974,0.353834756107595,0.894917171308298,0.850820163135173,0.42725570393233,0.352541685555765,0.850820163135173
30066.png,0.120965660722172,0.358399092282282,0.901745203100149,0.857312704516866,0.431600674209368,0.351623439793146,0.857312704516866
30071.png,0.181920581892201,0.351606722891995,0.885054210135825,0.847819432832306,0.430062115343415,0.354978753704781,0.847819432832306
30084.png,0.142567375175066,0.335259280698145,0.88451476417907,0.849121226951399,0.429618659619844,0.340200245909776,0.849121226951399
30092.png,0.139418199678292,0.329307249358939,0.896287637642057,0.852577547944562,0.429190676895455,0.33327804458686,0.852577547944562
30100.png,0.150118842771516,0.300286446841616,0.898767291598123,0.852739629443771,0.436955477365282,0.313770875977772,0.852739629443771
41041.png,0.150201272290235,0.257883785185894,0.889808876887449,0.866389032047757,0.438950874466692,0.279486174862907,0.866389032047757
41054.png,0.148311403771474,0.284872120221719,0.897272045365601,0.865081914936215,0.441135543692608,0.2831044484535,0.865081914936215
41066.png,0.155041258113248,0.301152243974692,0.907210844332249,0.857397445061573,0.439775733832696,0.282166572381591,0.857397445061573
41071.png,0.143717414564433,0.304751041293603,0.911210247839941,0.852475842638131,0.437471680543659,0.286962692874173,0.852475842638131
41083.png,0.143496973321457,0.287836162891909,0.907853147272303,0.851863091807557,0.429396531110202,0.267493122070718,0.851863091807557
41094.png,0.13664418340793,0.260909605116423,0.896359430883693,0.84833510007549,0.427817864591286,0.247122864380741,0.84833510007549
41101.png,0.154209926596797,0.232265887906528,0.908798090665295,0.852632968138137,0.427032853214314,0.216951531699193,0.852632968138137
AVERAGE,0.155036003705276,0.299419754936544,0.900332778756129,0.850211325818354,0.44104804709526,0.303699218374771,0.850211325818354
