ImageName,NABF,SSIM,MS_SSIM,FMI_pixel,FMI_dct,FMI_wavelet,FMI_edge
25015.png,0.109317179580634,0.580172628464621,0.911392519748589,0.839907046594793,0.379286744227771,0.463614073426412,0.839907046594793
25022.png,0.103478127742565,0.5921145858021,0.904359183945697,0.816148902288425,0.379768114110249,0.448273436811559,0.816148902288425
25027.png,0.0930647781435727,0.586161275262568,0.899781343377693,0.821987884402163,0.374558850818778,0.448874045579323,0.821987884402163
25038.png,0.0867905916808345,0.589717168343098,0.878870166610995,0.819610038248447,0.383996788487052,0.434260014260632,0.819610038248447
25046.png,0.0882051688347145,0.578952127580823,0.87599072710522,0.82232251657465,0.38356382376906,0.427753621348457,0.82232251657465
25055.png,0.087960831014938,0.585277805661164,0.878392776631169,0.81579658531494,0.381077129017438,0.423338036018204,0.81579658531494
25063.png,0.0924446288589634,0.579315001833396,0.883787476037677,0.81345858020076,0.379399567285721,0.427929658220666,0.81345858020076
25073.png,0.0898427529455246,0.561903568158016,0.872124324624191,0.808597508691792,0.382515921088323,0.41801347862191,0.808597508691792
30034.png,0.104915301315274,0.587099955143711,0.881100466740181,0.835796485712672,0.349955245546354,0.414496989586855,0.835796485712672
30043.png,0.0947025175760282,0.567901531265933,0.86161888792004,0.822689120611685,0.354240439683322,0.408598820780386,0.822689120611685
30057.png,0.0864803368906831,0.554069465551689,0.86655261038496,0.83149648942465,0.356587993433319,0.394423168062973,0.83149648942465
30062.png,0.0921919729711999,0.551369223021591,0.86790103701124,0.831222194718518,0.35667399217056,0.390722961894076,0.831222194718518
30066.png,0.0964207564161046,0.55007231282313,0.861739532733915,0.836634598308066,0.357621755542188,0.392326406388448,0.836634598308066
30071.png,0.103648728694209,0.54039819875617,0.866771420882397,0.826508448706655,0.356041754092938,0.403179074856345,0.826508448706655
30084.png,0.0867747649832197,0.549608166024009,0.860263533616357,0.82798453897868,0.36180397081548,0.402543435606737,0.82798453897868
30092.png,0.0950158473114302,0.567209528792072,0.86566836979424,0.828133236756023,0.355283408551387,0.402068910512955,0.828133236756023
30100.png,0.104320892286628,0.56751974973138,0.872637646217467,0.824697380593111,0.357404758354014,0.407134794128938,0.824697380593111
41041.png,0.0898843044343686,0.609608514206203,0.86335116463022,0.84667095272046,0.360054452424069,0.41438466821576,0.84667095272046
41054.png,0.0901511449950776,0.622265241772469,0.874703619802117,0.846964440389919,0.361296540846049,0.412483504490281,0.846964440389919
41066.png,0.0924876263042043,0.642537319820555,0.88505066326831,0.839790529522865,0.360475694341395,0.425689950561232,0.839790529522865
41071.png,0.0907321868809651,0.647050543527087,0.888449369282216,0.83824474770371,0.361591149363678,0.426781428583278,0.83824474770371
41083.png,0.0870945488875116,0.661889861703488,0.890119228982925,0.841770261366383,0.352603038708066,0.43557909107509,0.841770261366383
41094.png,0.0911071900219876,0.667685865346502,0.873386340004651,0.834796271053128,0.349237912316546,0.442378889174228,0.834796271053128
41101.png,0.0980601833879263,0.708925032806202,0.891226760878125,0.834285594108137,0.349027364246689,0.434239792013477,0.834285594108137
AVERAGE,0.0939621817566069,0.593701027974916,0.878134965426275,0.82939643137461,0.364336100385018,0.420795343759093,0.82939643137461
