ImageName,EN,MI,FMI,SCD,Qabf,SF,SSIM,MS_SSIM,VIF,VIFF,SD,MLI,AG,PSNR
25015.png,3.63455088511557,2.2601278831848,0.839907046594794,1.01253441663707,0.821151892404464,23.5822507199717,0.580172628464621,0.91139251974859,0.59098898153354,0.519639538333728,56.2808191742721,0.00284280932638632,5.77865989551129,63.4828393852294
25022.png,4.36398617275711,2.55370533352806,0.816148902288424,0.968910990938266,0.811686551719286,26.961194994644,0.5921145858021,0.904359183945698,0.528144839988963,0.489792057966303,66.216679043471,0.00192302006681748,7.40739857061359,62.9874105417325
25027.png,4.70456890538805,2.66423380097679,0.821987884402162,0.926656531979165,0.807102533797362,27.8386399521826,0.586161275262568,0.899781343377693,0.505757814865494,0.473589463825526,68.4711119570995,0.0022903649536033,7.9528781529118,63.5680139698945
25038.png,5.15871545267316,2.77847733732482,0.819610038248444,0.95590128390182,0.802466256593618,30.7092249185491,0.589717168343098,0.878870166610994,0.455603575791219,0.439155959823954,72.5755247909834,0.00160660873907866,8.83974171704376,63.2274855063305
25046.png,5.3470237097735,2.84013694555817,0.822322516574649,0.949713990187536,0.797137180611784,31.9242466073372,0.578952127580823,0.87599072710522,0.448644521290436,0.440045044327194,73.2198484869703,0.00132486148021776,9.31847153008375,63.3136028660612
25055.png,5.32624958805671,2.69579354833002,0.815796585314938,0.899403292267927,0.800344320312686,32.6056315056518,0.585277805661164,0.878392776631169,0.458454918046317,0.44648626179914,72.9485425139941,0.00171628852987753,9.66425617242515,63.9878920005525
25063.png,5.28495609498754,2.63822850311325,0.813458580200758,0.887249238709259,0.812538117743542,32.2392193468319,0.579315001833396,0.883787476037678,0.466168012263136,0.458771703924482,68.7785783040788,0.0025279050059212,9.43806687314837,64.2040012219035
25073.png,5.44009571638342,2.56957373215634,0.808597508691791,1.01769649913923,0.825266773899612,34.8016928872523,0.561903568158016,0.87212432462419,0.470988780577251,0.444007921269149,64.5459968002825,0.00334788219289024,10.5883585438581,63.2802163108532
30034.png,5.05049339264901,2.70123004763628,0.835796485712671,1.04266940786844,0.809628050330722,23.5434526695415,0.587099955143711,0.881100466740181,0.542911000440734,0.486178943232776,62.1226681279614,0.00185740967016118,7.01337280264179,63.4424888349351
30043.png,5.65718553252816,2.80034479900656,0.822689120611683,1.04846693095933,0.802328141703569,28.9189385903283,0.567901531265933,0.86161888792004,0.509408325774465,0.454423416744954,67.6928866041928,0.000119854731693586,8.96206633163006,62.4518567385972
30057.png,5.91759983513687,3.00685028933124,0.831496489424647,0.930851079775588,0.793919695442711,25.6472016447386,0.554069465551689,0.86655261038496,0.515850426067299,0.455929739765303,67.7974267189234,0.00230686770663864,8.12865149233465,63.4810218359587
30062.png,6.04054514718373,2.9393078685569,0.831222194718516,0.951822965678982,0.797724081460739,26.1202890606659,0.551369223021591,0.86790103701124,0.499934131227546,0.476831240367227,68.2151487557212,0.00176998681119463,8.54864011660666,63.7130964487763
30066.png,5.99577900239515,2.80816563053597,0.836634598308065,1.05964823144481,0.797652105805708,25.5989127732326,0.55007231282313,0.861739532733915,0.506302822068426,0.478296941670262,63.6224298688784,0.0017260916006352,8.14452514999647,63.6059856848287
30071.png,6.07112629914719,2.81929602541696,0.826508448706652,1.02219862965269,0.804792816178961,27.2955240688135,0.54039819875617,0.866771420882397,0.490603954082614,0.475522998925046,65.6564346045951,0.00133245819878871,8.97401660884321,63.6401003166525
30084.png,5.90234011148605,2.89070582535386,0.827984538978678,1.00740103919905,0.793964537939316,26.7203000209725,0.549608166024009,0.860263533616357,0.492440856720165,0.422774905700502,66.3529084880492,0.0024790349126731,8.44308227570817,62.9925942781787
30092.png,5.81141582142065,2.88445519473606,0.828133236756021,0.986535989309714,0.799313992157641,27.5059850327624,0.567209528792072,0.86566836979424,0.493629647881337,0.44853350376147,68.1938111019575,0.00175230305988989,8.72019439935222,63.1688570798131
