Model,EN,MI,FMI,SCD,Qabf,SF,SSIM,MS_SSIM,VIF,VIFF,SD,MLI,AG,PSNR
ASFE-Fusion,6.07379030490282,3.62238030610016,0.850211325818353,1.18073289204411,0.766070990854122,19.9584427103684,0.299419754936544,0.900332778756129,0.714608822932151,0.503264220192283,71.6378045869664,0.160837896151641,6.80025053393838,63.5629858882701
DWT-grayscale,5.19435524827693,2.73070928264606,0.829396431374608,0.95522958362633,0.80339083148686,27.4291630400816,0.593701027974916,0.878134965426275,0.498107198457106,0.461284976606023,67.5262681880403,0.00157338424421558,8.07534604886357,63.7025588206098
DWT-hsi,5.23825115214554,2.95062429194892,0.820133029400559,1.01554175126613,0.742944159212202,27.5848955172297,0.580023436198846,0.871478296611171,0.527659813063025,0.453980083935334,70.3470837832084,0.0292982286102689,8.10688183467482,63.2484337990777
DWT-ycbcr,5.25152116481059,2.82038197673787,0.830302658766242,0.959564965459549,0.797248293575548,27.1311439033801,0.595438339542392,0.880588185058339,0.510305556539268,0.465630020886732,67.5205170426309,0.00276794719977577,7.95555798013054,63.7032645723803
PYRAMID-grayscale,4.96405554413373,2.42141234289925,0.841257870935727,1.16444868356158,0.891715544845671,33.4647004442506,0.591370056406176,0.954732101986395,0.577683860713025,0.5794553042709,78.293571018122,0.100214126222816,10.4592521416904,62.7256589086271
PYRAMID-hsi,4.91049271777126,2.59527340193277,0.82978113699059,1.08247424043695,0.808417031665158,32.9655856988348,0.574827418046377,0.922878973458625,0.539470808621547,0.512416326034687,78.0858002887286,0.0527077734874882,9.91167627347525,62.5154848484489
PYRAMID-ycbcr,5.09905580222567,2.60891059800948,0.841316323098482,1.14303054469386,0.886810734805822,32.8567158741781,0.596738384214765,0.956818839947659,0.585453940251523,0.573100560000012,77.5733098986302,0.0990593670476872,10.1465979693663,62.7745648943269
