ImageName,EN,MI,FMI,SCD,Qabf,SF,SSIM,MS_SSIM,VIF,VIFF,SD,MLI,AG,PSNR
25015.png,3.43266829257293,2.00561835290284,0.844888622821453,1.12517752224696,0.810715452590707,28.1467581958611,0.549265784725279,0.937721235166027,0.586875033575164,0.580792081795948,66.5618150047866,0.0972655218598733,6.78876505634942,62.7545047371819
25022.png,4.15851355967466,2.37248237104885,0.816216454258416,1.03553337856185,0.815232974911386,32.1710920962697,0.571034264406006,0.938137708542808,0.570027190267335,0.544496939273378,75.1284357525103,0.0668674973171529,8.80966902091424,62.1936034293778
25027.png,4.45423794850369,2.52763824733229,0.813755332736503,1.05300048012313,0.799409983681128,32.5050778461506,0.562349317559776,0.927170142833539,0.530224196087084,0.526686676084463,77.9587205975321,0.0624522476807472,9.36377235409013,62.6180701533261
25038.png,4.96342220012744,2.65038249811001,0.817413349712683,1.07358520037076,0.81497459803994,35.6403664829532,0.575018564642281,0.941323337602536,0.508709956752208,0.501469880731543,82.9208353602933,0.0509601314669341,10.5990606023662,62.0931637110669
25046.png,5.10001557515017,2.67275333514992,0.824149658385863,1.07339497058921,0.817258031152937,37.4917924024582,0.56138592183618,0.933496015744359,0.503682646734337,0.476274946644556,84.0681763475535,0.0444788439787561,11.2310970770103,62.0725306342783
25055.png,5.07659311662182,2.64935771806689,0.817708227686675,1.04334295846584,0.838894375127147,38.97450264747,0.568145573747193,0.946473803121059,0.530231054701275,0.499880763967574,83.1022578899834,0.0552321624635499,11.8921376021727,62.7223411070059
25063.png,4.98068856858618,2.5867092817447,0.817901372302892,0.987382388366004,0.829320760233042,37.5855839153764,0.554791289624398,0.935411904036598,0.519653487137978,0.500289197977442,77.7797038956204,0.0449592289146821,11.2220104333522,63.0002096012249
25073.png,5.13746563393238,2.55157404053599,0.812355578998712,1.14461773318536,0.816419893887978,39.9900020057097,0.541179948665996,0.91326340680194,0.500413710046762,0.505170971468437,75.8253139152962,0.0518225289322155,12.3369216114772,62.1425697658323
30034.png,4.71575272824741,2.38421378185876,0.836863587317238,1.31947362366804,0.83887227233764,28.8471106081905,0.570949561119801,0.926042624605404,0.562519610983941,0.560277694887285,75.3120699914239,0.100892591213402,8.89814750175406,62.4767441596888
30043.png,5.31308719064662,2.54859999644367,0.825377179693933,1.16557158487575,0.828097419212384,35.5387255121707,0.555222147331167,0.929604020250103,0.561647141851884,0.522614354949515,80.0540151440098,0.0638271983780388,11.4065852398828,61.3409327051855
30057.png,5.57144347016214,2.8178265932117,0.838293945043934,1.00896734310138,0.800785773884598,31.2598626593335,0.534199337696167,0.925176659986068,0.610245100155751,0.527053849145078,77.6313927786846,0.0213548405996332,10.1097427073122,62.2496792846867
30062.png,5.68016318246826,2.76168311316285,0.828911380232796,1.09847825812112,0.802573499253176,31.1936192373929,0.531351615648924,0.914525790382212,0.559119584667503,0.541396532151494,78.6426286736409,0.0369052652141703,10.4353036061965,62.5599222022905
30066.png,5.61493712193621,2.66149422477616,0.828930632215295,1.23421470593125,0.790468284208247,30.3426015387154,0.526056735215458,0.903342735746854,0.571162959293016,0.548637969321086,75.8677792577475,0.0521921871002067,10.0112446113468,62.3941484920086
