ImageName,EN,MI,FMI,SCD,Qabf,SF,SSIM,MS_SSIM,VIF,VIFF,SD,MLI,AG,PSNR
25015.png,3.63533162060435,2.3269323023473,0.834728913279732,1.07549559487262,0.752257630255094,23.5252940637161,0.569781976430546,0.891037030788411,0.591760237507366,0.503791211247718,57.5891966884566,0.0198855162778618,5.654393142314,63.3358002264905
25022.png,4.35425170789161,2.76328768327006,0.804986431528767,1.01199998722942,0.75216687967888,27.1395461132882,0.583709249568985,0.890088982144171,0.58114632322442,0.49080795702923,67.6350634936603,0.0203790904928528,7.30063684649389,62.7579831875751
25027.png,4.71812610734943,2.88491758956774,0.806830537991456,0.998509535281316,0.741275608878483,27.7760545523495,0.574518737024752,0.886276248184995,0.534428924069551,0.47275866113508,70.7360168361324,0.0157426571667991,7.87951769970731,63.2526432981371
25038.png,5.22008340807093,3.03925446332122,0.809055128152131,1.03138466407369,0.767387190860453,31.1301569670652,0.582205248414526,0.904198705400209,0.504936619137701,0.450151585013675,75.9444000794194,0.0132500801634918,9.04639652195074,62.7861686507447
25046.png,5.3962038743223,3.07833358024782,0.812014736626108,1.01992299988592,0.755739238853593,32.2453829439345,0.570302028133439,0.894103386735547,0.496120183611158,0.433178609931746,77.0711820103297,0.0198281602514791,9.47367904349119,62.7641500404931
25055.png,5.41418467429536,2.93732047416231,0.808095586415239,0.984922816060642,0.776549482828364,33.3005029808036,0.578850690985457,0.907194277316205,0.515442782710996,0.458086269042188,76.3940765893784,0.00801275810943095,9.99487141308145,63.5265563985139
25063.png,5.35229829415655,2.85893478566968,0.80639700647533,0.929977977695336,0.760739911556642,31.9495506983812,0.569427191530467,0.884869425935981,0.511181516732545,0.437704895834664,70.654577467064,0.0289701795555465,9.38178660790497,63.7697235320578
25073.png,5.46031413758789,2.76813933128167,0.798913139887961,1.0601616140879,0.742750023994463,33.7417970695885,0.540728726695238,0.85095342072698,0.480777638308929,0.451330022746647,66.961609913875,0.037295314862424,10.1426209059218,62.8971594732394
30034.png,5.07820835895165,2.80333439776551,0.828917821750502,1.1845690805522,0.765380749172529,24.0480921978822,0.57525510995846,0.862161449756526,0.537301909522559,0.494396326720394,66.0294322236013,0.000130767295581318,7.0719303807696,63.2353177486244
30043.png,5.68984509088317,2.99999182417509,0.814222450893786,1.09605996123824,0.766073304738652,29.5693904418563,0.553944863301653,0.864492049580227,0.542869012607745,0.459958553060052,70.6388502359993,0.0257546810437295,9.24703886385183,62.0734265349227
