Model,EN,MI,PSNR,MSE,SF,SD,VIF,AG,CC,SCD,Qabf
ASFE-Fusion,6.07379030490282,3.6223803061,63.5629858882701,0.0290471470632508,19.9584427103684,71.6378045869664,0.714608822932148,6.80025053393838,0.868885599850707,1.18073289204411,0.489107007981125
DWT,5.19435524827693,2.7307092826459,63.7025588206098,0.0281475827340421,27.4291630400816,67.5262681880403,0.498107198457105,8.07534604886357,0.862512950908216,0.95522958362633,0.494561868363904
PYRAMID,4.96405471779435,2.42176610610951,62.7256556824424,0.0351253268016877,33.4646799603783,78.2936064896493,0.577685054427543,10.4592462448541,0.835560624877134,1.16444922815211,0.660927574917085
