ImageName,EN,MI,FMI,SCD,Qabf,SF,SSIM,MS_SSIM,VIF,VIFF,SD,MLI,AG,PSNR
25015.png,3.46670578780552,1.93531711051266,0.849981946164412,1.17814942964831,0.895350953700407,28.1456767676811,0.5607113502578,0.960880962163298,0.629083004119921,0.657080701938808,67.3309626656305,0.145488532115849,7.13697257798858,62.8284178843046
25022.png,4.22686300571367,2.200277230348,0.827452803314796,1.13055146659104,0.890956883747802,32.3253015848115,0.581559895956915,0.958524107863613,0.580258066347313,0.614259514881009,76.4764254769703,0.114578147760752,9.32722895298783,62.3016055322304
25027.png,4.5259189228185,2.34733528760932,0.826865509598491,1.11792051707838,0.888487464035685,33.2017290219805,0.576486403722621,0.957144914678978,0.567355428804904,0.590971517946396,78.3723926384014,0.0998755128871958,10.0236982709113,62.7673259763387
25038.png,5.03326055477899,2.44563256540942,0.82834554023213,1.13723522587241,0.874530816550278,35.9760754175741,0.583061476142096,0.954544484924015,0.518237739718826,0.534242253325828,82.6492245318807,0.0794819977660352,11.0258763977412,62.3293188517288
25046.png,5.16338008820891,2.45061246351261,0.833886320672154,1.16770763970621,0.881539591256216,38.1632325976708,0.570600708025348,0.952496462909786,0.512708774566718,0.529195539015341,84.1649591335318,0.0882574172169233,11.7860101454125,62.3359859799284
25055.png,5.12581465936374,2.46968413444261,0.82619350265199,1.08049479031535,0.882777618574544,39.2828122495742,0.574347011587203,0.95891535568504,0.536629570205957,0.526764049419153,82.6724593010724,0.0753862296226765,12.2626960751712,62.9027130890507
25063.png,5.00196882498378,2.43485048686218,0.825545409518103,1.09158408496632,0.893851751031088,38.6285638704208,0.565682482848319,0.958553709393641,0.546826694057705,0.566952503842548,78.7457856165215,0.0924825044477608,11.8660157062276,63.1603797628993
25073.png,5.18449590297256,2.41796985621472,0.82502511661526,1.23692603763153,0.913904767333149,41.4499001793424,0.564675510741013,0.959690319777309,0.566499286173025,0.559218750240114,76.1428179340575,0.104406444901623,13.3310652170914,62.3253513756739
30034.png,4.74034240374619,2.24889637740715,0.846265578482699,1.29031848297236,0.896163566547046,28.5226287229054,0.586782202928132,0.954297445806973,0.612832949228575,0.635376469497552,73.6336636940746,0.114109726934111,9.16249988175856,62.6037974227079
30043.png,5.39026242666813,2.40431880645562,0.835131242497379,1.23562060465364,0.892514301109385,35.2926377855601,0.571747556597002,0.954955593566208,0.606995704117835,0.581272597937418,79.9826844782839,0.104203549521559,11.6600233941107,61.5155430174826
