ImageName,NABF,SSIM,MS_SSIM,FMI_pixel,FMI_dct,FMI_wavelet,FMI_edge
16009.png,0.111487729212321,0.239979041911739,0.880798789039468,0.850207913748046,0.423665340559656,0.237635735699439,0.850207913748046
16010.png,0.0944111074982201,0.232930110618139,0.873425636848895,0.846358735408603,0.422304042356611,0.250316183244736,0.846358735408603
16011.png,0.102443192037428,0.228550531591739,0.868675510585816,0.851621227171111,0.414919472327663,0.234813955233716,0.851621227171111
16012.png,0.110771950928599,0.230867980190129,0.857386723838964,0.859846196283541,0.415669608472598,0.235483171971708,0.859846196283541
16013.png,0.102509666484244,0.214244108417905,0.848942584392816,0.865937223540306,0.418997589975406,0.232231209535741,0.865937223540306
16014.png,0.0931951063606685,0.212539724183511,0.863039098610281,0.869399904959558,0.411693768968767,0.226118288614867,0.869399904959558
16015.png,0.110006304322191,0.210916758457801,0.856896790363456,0.88705119983932,0.409382044051666,0.212052759049409,0.88705119983932
20013.png,0.106247621460019,0.226606666076595,0.860994292565689,0.894057188271037,0.435973966332517,0.233911633769759,0.894057188271037
2004.png,0.161020099530291,0.220994990711514,0.854580176734668,0.836305332569685,0.442130155235505,0.282146004590122,0.836305332569685
2010.png,0.105960467737053,0.274902109044751,0.839041310696867,0.869338400469476,0.427192831712962,0.279007398779143,0.869338400469476
2013.png,0.109974396214912,0.28369763461554,0.844085371304753,0.892506985685711,0.423908141908903,0.266934389517504,0.892506985685711
21014.png,0.114430939312519,0.252279491272405,0.866454839652017,0.89428602975804,0.436859726617419,0.234556167617075,0.89428602975804
28011.png,0.0937829721122132,0.220886929671243,0.862293967883781,0.89270828199468,0.4133822036998,0.213030806254561,0.89270828199468
32011.png,0.102023039257157,0.280470983018868,0.805078690607721,0.870662185375538,0.42174858314501,0.259063736134418,0.870662185375538
33013.png,0.101121229847793,0.249799379900812,0.827551295016275,0.882198836685627,0.408463512312579,0.247636683186564,0.882198836685627
34008.png,0.157066869492469,0.249651569192008,0.821175415018188,0.836707671806627,0.42814966163847,0.269227405501636,0.836707671806627
34010.png,0.149470562121588,0.2522790334312,0.832325673387581,0.844348554405606,0.415139088599735,0.26133525768114,0.844348554405606
37011.png,0.136572938986679,0.245022791283941,0.844475173421662,0.870112625423447,0.428991587093624,0.25552982724597,0.870112625423447
41010.png,0.124238033682626,0.224098623488935,0.801987610764805,0.874650048213031,0.416272405589226,0.242104643148418,0.874650048213031
41011.png,0.117901143413929,0.2317271001479,0.801388914715402,0.886651415080028,0.413358290277586,0.23743324295393,0.886651415080028
41012.png,0.113014284630694,0.231955984374052,0.804299946297574,0.878300381929566,0.411057827051214,0.235975809577201,0.878300381929566
41013.png,0.103656541038623,0.218526666658475,0.805727998606161,0.868361102887719,0.419417458844716,0.233228869298091,0.868361102887719
41014.png,0.108048294333385,0.219859332878782,0.811347205119358,0.879947236838762,0.418019545598629,0.22730400266974,0.879947236838762
41015.png,0.104569444664037,0.210558567268198,0.828915652394987,0.88408975983638,0.419376418430277,0.221562768644237,0.88408975983638
AVERAGE,0.113913497278319,0.235972754516924,0.840037027827799,0.870235601590894,0.420669719616689,0.242859997913297,0.870235601590894
