ImageName,EN,MI,PSNR,MSE,SF,SD,VIF,AG,CC,SCD,Qabf,Qcv,Qcb,Qw,Qe
16009.png,4.37183751336335,2.61919564537018,63.4886293216057,0.0291217472790663,37.3012855926273,70.0432302934547,0.481990789838188,8.85984652651981,0.785126787939948,1.31193720497228,0.580902606670519,636.824010154715,0.699572682297054,0.841665298975458,0.772741748280132
16010.png,4.52147601619398,2.69227368545285,62.8525623791004,0.0337150744445871,37.6917316666323,73.7858813223579,0.504803736454477,9.42049169870411,0.779023361138491,1.38375829607546,0.581439370911986,685.226733438781,0.702522027010889,0.838625278735806,0.770626918033827
16011.png,4.49456356310653,2.72498522785489,62.7824781655146,0.0342635647290856,35.2668356055296,74.6680678400743,0.473810606478368,8.78776361500324,0.781187237379861,1.33115195174222,0.582254812056624,673.601222297784,0.713176818388649,0.838927460254321,0.771274449677895
16012.png,4.4484028018527,2.74902682440297,63.0534157832342,0.0321913198011282,33.8125430393695,73.9520088963297,0.494298743037168,8.29841983913527,0.792364063680323,1.25238826007973,0.582967241652187,709.057498400926,0.719640071488541,0.846546982915215,0.774202391752623
16013.png,4.38060205894023,2.83908278912219,63.1619760204004,0.0313966100356158,33.3791482789545,74.462268873,0.518837285914559,8.0710233632009,0.803566443810421,1.29344830687734,0.600307889553982,961.279353326099,0.73760124849229,0.859458537175633,0.777413691946554
16014.png,4.23492786568814,2.79597518396798,63.4259838729559,0.0295448625293982,32.8108813793116,72.0857905957635,0.527333221731569,7.6043620235563,0.801572924197035,1.31956024690292,0.597851949199575,870.300856207072,0.744286294718849,0.863995336082331,0.777478958072969
16015.png,4.10650031896486,2.82567907990038,63.564916979255,0.0286146648074058,31.3887673879886,71.312801384606,0.497701592547154,6.8997853535447,0.805481457844256,1.33921460518571,0.575084302495129,991.064889459757,0.740602220381643,0.862693585819639,0.750351655052766
20013.png,4.26802778095824,2.47952423709881,62.3256924226005,0.0380637102372735,34.6249946910168,78.7781388846987,0.387681661084272,7.48045011918703,0.828865159915593,0.846330620087181,0.539563348231969,772.215236300375,0.68443764298789,0.796179033924263,0.731084278567362
2004.png,4.2529667890861,1.8471150375398,60.1791123486179,0.0623977781982891,48.9226829420669,82.5225773395271,0.477096366738078,11.2761089542473,0.68847755072797,1.28898890320864,0.635194870268241,1104.52876189235,0.641493859274373,0.799276507360642,0.784446907115597
2010.png,4.83581917563921,2.51059202132541,62.0785920530701,0.0402922161942672,38.936975966637,76.6759088135871,0.446524715924294,9.40786063921482,0.767601799337655,1.23585984127263,0.583832682037455,2565.22342713687,0.669086851003935,0.821777346816735,0.700064742067902
2013.png,4.58063846625321,2.70594410724834,62.5108579691714,0.0364749381341461,36.8630530663502,74.4394187590977,0.444745753327137,8.28722772433521,0.777345366168034,1.29333152110541,0.551134024798432,3180.38572079491,0.669362041784046,0.819731808610508,0.645821242261514
21014.png,4.19519403695035,2.67508862755234,63.1945573390256,0.0311619500406244,33.0656402563707,72.4706156211071,0.453801977284405,7.00320124489557,0.788548310369384,1.18685068800434,0.588771058729777,691.905971930618,0.698250989188667,0.830150963518958,0.772224451732949
28011.png,4.26979761042302,2.8597933725952,63.2386807892471,0.0308469537238532,28.6501195545533,75.474013522089,0.570144854702096,6.47842866881487,0.820056798392531,1.3400830778375,0.595139357066096,918.37355398778,0.766376137774242,0.875188215845119,0.771792692278363
32011.png,4.99828264350597,2.76367678330821,62.6892132764253,0.0350073336051639,35.4226604645565,76.6409209946605,0.436203302530583,8.92543143020284,0.799362077879062,1.26641809911619,0.543328067932366,1356.07945210828,0.664687650440411,0.789118837696155,0.706375413880057
33013.png,4.7053054607952,2.85405854447693,62.1615533482233,0.039529837227381,33.0816882956447,78.7375375619875,0.461963538661918,7.74487699208844,0.794841263166588,1.31831692205352,0.529707267548588,765.471104629035,0.695471735310352,0.81104660468667,0.735072728441515
34008.png,4.64572492950574,2.37282782432114,61.8634088022595,0.0423388912401856,43.0922157993761,77.2373372455742,0.442679164056752,10.851718344456,0.745813394713611,1.32273151162568,0.545037927783279,797.88538079724,0.638117739773205,0.793209123874452,0.781634030826054
34010.png,4.77543844448997,2.41755198994871,61.9490026338977,0.0415126155514481,41.1997170134128,76.8308939968143,0.419538851669853,10.6467177316771,0.746278802701227,1.37846772906644,0.532163269434381,800.906201931122,0.627716809165965,0.780420377372887,0.770494710846175
37011.png,4.45421283652332,2.49626818258266,62.2986583004074,0.0383013896069496,38.3570200022875,84.1468994977484,0.404218809405931,9.02114365053776,0.821556861147358,1.10648576308439,0.547946433814298,777.386924838931,0.664593279530369,0.800249528489937,0.744062636348758
41010.png,4.72784168254368,2.75985685079059,62.3075342114562,0.0382231909236006,31.6317690190497,75.432346150008,0.437563981420993,8.14342892764522,0.780896335479113,1.27155998568021,0.513976501280182,863.109503085386,0.643101665106636,0.799585423492947,0.76781389121677
41011.png,4.67467447708447,2.81065672817298,62.6592237170138,0.0352499081070081,31.7582989578485,73.8622407642833,0.428091478320004,8.06183427963415,0.787875384096497,1.27709931794787,0.501302125129044,1122.70309996062,0.674987407048139,0.805209819568752,0.751912261323024
41012.png,4.64163046415804,2.75754568493568,62.6467104212908,0.0353516198744548,31.9218182692911,73.8092558168573,0.426110745179634,8.17136219384789,0.785180286843983,1.29086695880885,0.502296944033405,1364.49840492144,0.65570435948999,0.811109019025869,0.742007060766838
41013.png,4.59382189385904,2.70604849701809,62.6073330352247,0.0356736097735471,31.7516244566676,74.5072726177836,0.432199710348254,8.1303089469152,0.788822900670961,1.3468934573918,0.517126914704323,1397.49137143836,0.684264840269057,0.814070146313347,0.739244100069796
41014.png,4.48896124943081,2.72971702666923,62.6388083898953,0.0354160010525924,30.5155384217872,73.4991971436552,0.439181067728159,7.50038984930063,0.783536473484504,1.36001263802238,0.521826668659839,1347.12814308319,0.681069780743894,0.817169484682058,0.749047342863179
41015.png,4.36909847048263,2.72226656270646,62.6581943113984,0.0352582643619642,29.3571882272936,73.6266783360589,0.442649171700249,7.01533578101483,0.785309447986599,1.36058981465054,0.51555022147824,1180.40016911157,0.689136849175676,0.817143440532445,0.738985787969705
AVERAGE,4.50148943957495,2.65478127143175,62.5973789954705,0.0362478354782932,35.033508264776,75.3750542612968,0.460382130253504,8.42031324573663,0.784945437044625,1.28009773836664,0.556862743977913,1105.54362463472,0.687719208368532,0.822189506740423,0.751090587141347
