ImageName,NABF,SSIM,MS_SSIM,FMI_pixel,FMI_dct,FMI_wavelet,FMI_edge
16009.png,0.0323379944115734,0.663220696329321,0.963399790711584,0.859090846589135,0.338332881600534,0.439288876394373,0.859090846589135
16010.png,0.0309923520516911,0.62877116475923,0.965395673544461,0.853080164494003,0.329802805098725,0.432763751140324,0.853080164494003
16011.png,0.0331335575089014,0.663520265380464,0.963066110138187,0.854160011795142,0.33028853005491,0.420570408889561,0.854160011795142
16012.png,0.032261557366618,0.677576698543108,0.960068757463679,0.863158638969214,0.326354541303585,0.423523936588128,0.863158638969214
16013.png,0.0299013882551727,0.694968539365466,0.957416652393255,0.867489975075176,0.332918210130374,0.420016109356961,0.867489975075176
16014.png,0.0288617250972748,0.702318318177799,0.961647381810814,0.868078435036964,0.328463161973573,0.413291095945423,0.868078435036964
16015.png,0.031453489817106,0.720014064747363,0.956430876376091,0.883878917898917,0.317181731628857,0.414348454143494,0.883878917898917
20013.png,0.0336510429301463,0.695209134442897,0.945477997074251,0.891492039627162,0.362546510810788,0.414146985721289,0.891492039627162
2004.png,0.0440208695512687,0.6427486294374,0.942309507646654,0.845349618584295,0.387871552081248,0.450474710028897,0.845349618584295
2010.png,0.0278326564326983,0.674032199743506,0.929282328420617,0.870075220414704,0.341779808455156,0.411214228557111,0.870075220414704
2013.png,0.0335680666281766,0.703401578968493,0.916454148303641,0.893001309402866,0.343275997414262,0.415430409906448,0.893001309402866
21014.png,0.0245814589264178,0.70941237321205,0.9490618612132,0.892696584628711,0.378494607074109,0.415435290809839,0.892696584628711
28011.png,0.0285003679742915,0.742052591416905,0.97000623173936,0.896795000795367,0.342802728360224,0.464766818824019,0.896795000795367
32011.png,0.0307333242333582,0.656041879505704,0.950048313140813,0.869033494103143,0.332075315058022,0.414222429965538,0.869033494103143
33013.png,0.0320189363797925,0.696936193443858,0.950118262679636,0.88842110090258,0.32145808357786,0.435330118206494,0.88842110090258
34008.png,0.0438625458829812,0.597186804807221,0.955826812200759,0.845649667509601,0.347124023539758,0.435439035339809,0.845649667509601
34010.png,0.0405990548155588,0.584685298598614,0.960410885203627,0.851518297630393,0.323456399160325,0.431593485060542,0.851518297630393
37011.png,0.0377060445943549,0.628766832312627,0.948265180651169,0.876986015470479,0.349686923447449,0.444013601757852,0.876986015470479
41010.png,0.0349249609209867,0.630824057589198,0.944833746714738,0.872266415097025,0.326626859606412,0.433230612266727,0.872266415097025
41011.png,0.0335744333492971,0.668317668996395,0.942082445544611,0.881699906892529,0.325160028173292,0.452813177554023,0.881699906892529
41012.png,0.0334765292300952,0.649519300365663,0.944526678403126,0.877236103854358,0.315553871132869,0.448256464080135,0.877236103854358
41013.png,0.0306869813812753,0.679801338340159,0.943212824549228,0.863357898209178,0.316297935414943,0.471163805995064,0.863357898209178
41014.png,0.0311375612049054,0.675476907290233,0.945649235032635,0.877897223462446,0.32408623015197,0.454907914515775,0.877897223462446
41015.png,0.0327713049573381,0.688390782561003,0.937931870749628,0.880785603766055,0.330706530072772,0.454683948184326,0.880785603766055
AVERAGE,0.0330245084958867,0.669716388263945,0.95012181548774,0.87179993709206,0.336347719388417,0.43378856955134,0.87179993709206
