Model,EN,MI,FMI,SCD,Qabf,SF,SSIM,MS_SSIM,VIF,VIFF,SD,MLI,AG,PSNR
ASFE-Fusion,5.48549656300096,3.14634014877005,0.870235601590894,1.01770696616378,0.581880467675191,19.1241509730546,0.235972754516924,0.840037027827799,0.403218931968764,0.326533746742951,58.3718354553266,0.104728800993532,4.97180167152727,63.9884140548174
DWT-grayscale,4.4286393388116,2.71608582548716,0.865171639443932,1.05946983296198,0.734297217325087,29.813239945534,0.663480533205133,0.845815474567099,0.341171579214923,0.326237375793242,60.7269321415305,0.00160790749100169,6.54678096141883,63.9215810958552
PYRAMID-grayscale,4.50148992998946,2.64922632084695,0.87179993709206,1.28009782300558,0.816707367270238,35.0335089248356,0.669716349755894,0.950121749276813,0.460382119722676,0.414356563365753,75.375060345076,0.123824463558627,8.4203134650349,62.5973785783375
