Model,EN,MI,PSNR,MSE,SF,SD,VIF,AG,CC,SCD,Qabf,Qcv,Qcb,Qw,Qe
ASFE-Fusion,5.48549656300096,3.14640154237964,63.9884140548174,0.0264217426818746,19.1241509730546,58.3718354553266,0.403218931968764,4.97180167152727,0.830174359698126,1.01770696616378,0.343379136690237,2098.13401728233,0.308821075006941,0.435057828217708,0.604342806107634
DWT,4.42865643242051,2.71711455348259,63.9216009950236,0.0268428866386291,29.8135866044361,60.7267489899396,0.34127596866661,6.54636304690202,0.821486198241922,1.05951217413358,0.443250456507551,1987.87535011331,0.620818871500012,0.800510715121676,0.63532835505631
PYRAMID,4.50148943957495,2.65478127143175,62.5973789954705,0.0362478354782932,35.033508264776,75.3750542612968,0.460382130253504,8.42031324573663,0.784945437044625,1.28009773836664,0.556862743977913,1105.54362463472,0.687719208368532,0.822189506740423,0.751090587141347
