ImageName,EN,MI,PSNR,MSE,SF,SD,VIF,AG,CC,SCD,Qabf,Qcv,Qcb,Qw,Qe
16009.png,4.43298090953115,2.68397889975875,65.0995445498246,0.0200967535116452,31.1657747329644,54.7056967812036,0.349307724898466,6.98178182980454,0.825320369303222,1.04528109399804,0.464397337892688,1806.9601941596,0.628011639617045,0.819993607294511,0.65319405031328
16010.png,4.58699116321349,2.75719240020835,64.4329382927746,0.0234307684159563,31.5748966142564,57.252284857989,0.35282100284868,7.36179354955391,0.815600478238551,1.09908819327238,0.451981801076571,1905.29379619538,0.624540526480465,0.807815845805242,0.648778831974322
16011.png,4.57036768438812,2.79685808556857,64.2943755168001,0.0241903866038603,29.7110899568085,58.1854691360298,0.342357202045382,6.8362915392437,0.819720915969874,1.062717011446,0.44897432151862,1914.53736186637,0.640677226480764,0.812982543165683,0.648990767372327
16012.png,4.49647642077422,2.86041218077423,64.5422741368419,0.0228482502692024,28.2607009491494,58.5519034559169,0.364714783656253,6.41911245592044,0.832931179925594,1.01604011395543,0.449664491733782,1853.08522103629,0.642492127140824,0.821164033293707,0.648886934563324
16013.png,4.36016274350346,2.86866136459367,64.6364216064981,0.0223582701956204,28.3424821229926,59.3676819355924,0.372923637087393,6.22968503614853,0.837430011352162,1.01830870550319,0.462302547022238,1899.06353816513,0.667498474386452,0.82755935820245,0.654164654273151
16014.png,4.20408962981073,2.82829520757128,64.9453733201874,0.0208229870413047,27.416818269442,57.3791818064764,0.376171317540765,5.78153326399026,0.835317902763181,1.04099775705646,0.446589888835435,2018.63728391518,0.674263112124167,0.833878788099885,0.644051030334187
16015.png,4.07711509344786,2.92229201462203,64.9396214388319,0.0208505836847607,26.4368469765917,57.5557892458173,0.384128045599744,5.29306684686224,0.835219110167247,1.05644237118575,0.448075473794116,1913.53870550936,0.680525268251586,0.843290473537107,0.636831457047414
20013.png,4.16324792830773,2.50110138984626,63.1864104667476,0.0312204611901823,29.2672376725306,67.274254379722,0.313220476313015,5.89990012958909,0.865352272194327,0.79726527152466,0.454249960499371,1656.92829308817,0.6200612372404,0.792819753060091,0.624550789769792
2004.png,4.26255617261496,2.31872107524508,61.2032182873592,0.0492899675380262,41.7782891492722,64.1732839318958,0.367913545939749,9.16696884766041,0.731357115392698,1.15702865095129,0.505494987401844,2237.5946632437,0.601680353882322,0.768720955868918,0.666297534476626
2010.png,4.62477292940085,2.69680249328742,63.4090929438549,0.0296599945220889,32.8451777058583,62.9364142365519,0.358772054548441,7.18584526284945,0.811720456999263,1.10201294803149,0.475813990769419,2526.04953759271,0.611660976709855,0.799102034480145,0.598055969261158
