ImageName,NABF,SSIM,MS_SSIM,FMI_pixel,FMI_dct,FMI_wavelet,FMI_edge
16009.png,0.0833230855734385,0.658227459086585,0.870403935066099,0.848355976527461,0.330772583306265,0.413663514047512,0.848355976527461
16010.png,0.0765026637021753,0.62010884624853,0.854037141081724,0.841400643925599,0.322210683589764,0.40146486957244,0.841400643925599
16011.png,0.0801951997142184,0.656979967635255,0.855706121258151,0.846487479779506,0.31884810920254,0.398309618333508,0.846487479779506
16012.png,0.0796242670284706,0.669403102174965,0.85468152889061,0.856583387264187,0.317304023032032,0.401170828439672,0.856583387264187
16013.png,0.0700703322853656,0.682163733391227,0.853636825223997,0.860343543399495,0.32524763800988,0.39849104565417,0.860343543399495
16014.png,0.0712707039607903,0.689733554048943,0.855521495916189,0.862375736992062,0.318013782534022,0.397098118358931,0.862375736992062
16015.png,0.0720958717680485,0.713453331718947,0.864742435064236,0.882624015235346,0.31622192899294,0.401101846175694,0.882624015235346
20013.png,0.0781445715264561,0.693566850552878,0.850510073139625,0.889336269646325,0.346280232318861,0.39536556451268,0.889336269646325
2004.png,0.106506129287121,0.634193308349695,0.847935090986145,0.831888266194741,0.359300924306132,0.414038151954164,0.831888266194741
2010.png,0.0607876548844264,0.667068793525435,0.8552671773488,0.867535537440185,0.33427768284208,0.386755325789855,0.867535537440185
2013.png,0.0654143690918169,0.701801766030073,0.859190021824391,0.886701954842263,0.34017499714202,0.398723030512722,0.886701954842263
21014.png,0.0777228064586249,0.705609434278308,0.864875282959181,0.890724069697233,0.347527685878135,0.390969705957436,0.890724069697233
28011.png,0.0657977058365922,0.730215947978911,0.864818189874174,0.891021145590119,0.330870208771749,0.413961222703616,0.891021145590119
32011.png,0.063323021952848,0.66019427857086,0.840111490503563,0.863973544623476,0.328080056495274,0.394492108028522,0.863973544623476
33013.png,0.0721944051630565,0.68699309280287,0.825011396132357,0.877670317637955,0.315204565959989,0.393531251945911,0.877670317637955
34008.png,0.100415882352062,0.597240951111503,0.836350728301872,0.834844818647135,0.330969146369808,0.416898125633864,0.834844818647135
34010.png,0.0956817534201126,0.586929666016617,0.844205628452296,0.840200644333017,0.32044674297106,0.418574850985997,0.840200644333017
37011.png,0.0845952378157263,0.630922407062868,0.859663971240008,0.864308434421622,0.335098300006938,0.41305721774018,0.864308434421622
41010.png,0.0788744262638766,0.621480430700908,0.821731157078044,0.866280635725295,0.312931046275687,0.425042084870373,0.866280635725295
41011.png,0.074991929799912,0.659622826490862,0.822531236767189,0.878425629654251,0.312528417738461,0.42091724313254,0.878425629654251
41012.png,0.0727316831090123,0.639321623016129,0.822880892086355,0.870965976199529,0.307887874484135,0.429694646379546,0.870965976199529
41013.png,0.0669908521879131,0.669235680268407,0.81984357195447,0.859995896315644,0.318248996751004,0.43474702445577,0.859995896315644
41014.png,0.0686576083387179,0.667868391009451,0.824203330874841,0.874703726478003,0.318315126951002,0.425590544712727,0.874703726478003
41015.png,0.0733741548423807,0.679774931806809,0.831826077955773,0.877629221627078,0.317896184666656,0.425014730963494,0.877629221627078
AVERAGE,0.0766369298484651,0.66342126557821,0.84582019999917,0.865182369674897,0.326027372441518,0.408694694619222,0.865182369674897
