Model,NABF,SSIM,MS_SSIM,FMI_pixel,FMI_dct,FMI_wavelet,FMI_edge
ASFE-Fusion,0.113913497278319,0.235972754516924,0.840037027827799,0.870235601590894,0.420669719616689,0.242859997913297,0.870235601590894
DWT,0.0766369298484651,0.66342126557821,0.84582019999917,0.865182369674897,0.326027372441518,0.408694694619222,0.865182369674897
PYRAMID,0.0330245084958867,0.669716388263945,0.95012181548774,0.87179993709206,0.336347719388417,0.43378856955134,0.87179993709206
